uuid;n_sq;response_type;reason_protest;reason_truezero;reason_sensitivity;C7_newr1;C7_newr2;C7_newr3;C7_comment;C8_newr1;C8_newr2;C8_newr3;C8_newr4;C8_newr5;C8_newr6;C8_newr7;C8_newr8;C8_newr9;C8_comment;comment_override
05npdvhq6bvf73x3;6;True zero;FALSE;TRUE;FALSE;NO TO: Jeg ignorerte fjordområder jeg ikke besøker ofte;NO TO: Jeg tok ikke hensyn til kostnaden ;Jeg valgte alltid alternativet med lavest kostnad;;Jeg har ikke råd til å betale mer;NO TO: Jeg ønsker ikke høyere skatt;NO TO: Områdene som forbedres er for langt unna;NO TO: Synes Oslofjorden er bra som den er;NO TO: Ikke mitt ansvar å betale;NO TO: Tror ikke at kommunen jeg bor i bruker penger effektivt;NO TO: Tror ikke at andre kommuner bruker penger effektivt;NO TO: Usikker på hva som var best;NO TO: Jeg bruker ikke Oslofjorden;;NA
06thdpxtg5hk2sag;6;True zero;FALSE;TRUE;FALSE;NO TO: Jeg ignorerte fjordområder jeg ikke besøker ofte;NO TO: Jeg tok ikke hensyn til kostnaden ;Jeg valgte alltid alternativet med lavest kostnad;;Jeg har ikke råd til å betale mer;NO TO: Jeg ønsker ikke høyere skatt;NO TO: Områdene som forbedres er for langt unna;NO TO: Synes Oslofjorden er bra som den er;NO TO: Ikke mitt ansvar å betale;NO TO: Tror ikke at kommunen jeg bor i bruker penger effektivt;NO TO: Tror ikke at andre kommuner bruker penger effektivt;NO TO: Usikker på hva som var best;NO TO: Jeg bruker ikke Oslofjorden;;NA
0jj5jx7tm8ny8r9u;6;True zero;FALSE;TRUE;FALSE;NO TO: Jeg ignorerte fjordområder jeg ikke besøker ofte;NO TO: Jeg tok ikke hensyn til kostnaden ;Jeg valgte alltid alternativet med lavest kostnad;;Jeg har ikke råd til å betale mer;NO TO: Jeg ønsker ikke høyere skatt;NO TO: Områdene som forbedres er for langt unna;NO TO: Synes Oslofjorden er bra som den er;NO TO: Ikke mitt ansvar å betale;NO TO: Tror ikke at kommunen jeg bor i bruker penger effektivt;NO TO: Tror ikke at andre kommuner bruker penger effektivt;NO TO: Usikker på hva som var best;NO TO: Jeg bruker ikke Oslofjorden;;NA
1ab1kfs1608jnvjh;6;Protest;TRUE;FALSE;FALSE;NO TO: Jeg ignorerte fjordområder jeg ikke besøker ofte;NO TO: Jeg tok ikke hensyn til kostnaden ;Jeg valgte alltid alternativet med lavest kostnad;;NO TO: Jeg har ikke råd til å betale mer;Jeg ønsker ikke høyere skatt;NO TO: Områdene som forbedres er for langt unna;NO TO: Synes Oslofjorden er bra som den er;NO TO: Ikke mitt ansvar å betale;NO TO: Tror ikke at kommunen jeg bor i bruker penger effektivt;Tror ikke at andre kommuner bruker penger effektivt;NO TO: Usikker på hva som var best;NO TO: Jeg bruker ikke Oslofjorden;;NA
1b8uuje7fy8t9sm0;6;True zero;FALSE;TRUE;FALSE;Jeg ignorerte fjordområder jeg ikke besøker ofte;NO TO: Jeg tok ikke hensyn til kostnaden ;NO TO: Jeg valgte alltid alternativet med lavest kostnad;;NO TO: Jeg har ikke råd til å betale mer;NO TO: Jeg ønsker ikke høyere skatt;NO TO: Områdene som forbedres er for langt unna;NO TO: Synes Oslofjorden er bra som den er;NO TO: Ikke mitt ansvar å betale;NO TO: Tror ikke at kommunen jeg bor i bruker penger effektivt;NO TO: Tror ikke at andre kommuner bruker penger effektivt;NO TO: Usikker på hva som var best;Jeg bruker ikke Oslofjorden;;NA
1shgmqpwhksc4z7t;6;True zero;FALSE;TRUE;FALSE;NO TO: Jeg ignorerte fjordområder jeg ikke besøker ofte;NO TO: Jeg tok ikke hensyn til kostnaden ;Jeg valgte alltid alternativet med lavest kostnad;;Jeg har ikke råd til å betale mer;NO TO: Jeg ønsker ikke høyere skatt;NO TO: Områdene som forbedres er for langt unna;NO TO: Synes Oslofjorden er bra som den er;NO TO: Ikke mitt ansvar å betale;NO TO: Tror ikke at kommunen jeg bor i bruker penger effektivt;NO TO: Tror ikke at andre kommuner bruker penger effektivt;NO TO: Usikker på hva som var best;NO TO: Jeg bruker ikke Oslofjorden;;NA
1zu08mkj5bqg96vf;6;Protest;TRUE;FALSE;FALSE;NO TO: Jeg ignorerte fjordområder jeg ikke besøker ofte;NO TO: Jeg tok ikke hensyn til kostnaden ;Jeg valgte alltid alternativet med lavest kostnad;;NO TO: Jeg har ikke råd til å betale mer;Jeg ønsker ikke høyere skatt;NO TO: Områdene som forbedres er for langt unna;NO TO: Synes Oslofjorden er bra som den er;NO TO: Ikke mitt ansvar å betale;Tror ikke at kommunen jeg bor i bruker penger effektivt;NO TO: Tror ikke at andre kommuner bruker penger effektivt;NO TO: Usikker på hva som var best;NO TO: Jeg bruker ikke Oslofjorden;;NA
27bbz30c1tq7h979;6;Protest;TRUE;FALSE;TRUE;NO TO: Jeg ignorerte fjordområder jeg ikke besøker ofte;NO TO: Jeg tok ikke hensyn til kostnaden ;Jeg valgte alltid alternativet med lavest kostnad;;NO TO: Jeg har ikke råd til å betale mer;NO TO: Jeg ønsker ikke høyere skatt;NO TO: Områdene som forbedres er for langt unna;NO TO: Synes Oslofjorden er bra som den er;NO TO: Ikke mitt ansvar å betale;Tror ikke at kommunen jeg bor i bruker penger effektivt;Tror ikke at andre kommuner bruker penger effektivt;Usikker på hva som var best;NO TO: Jeg bruker ikke Oslofjorden;;NA
289rdt4kn4m1uh3n;6;Protest;TRUE;FALSE;FALSE;NO TO: Jeg ignorerte fjordområder jeg ikke besøker ofte;NO TO: Jeg tok ikke hensyn til kostnaden ;Jeg valgte alltid alternativet med lavest kostnad;;NO TO: Jeg har ikke råd til å betale mer;Jeg ønsker ikke høyere skatt;NO TO: Områdene som forbedres er for langt unna;NO TO: Synes Oslofjorden er bra som den er;NO TO: Ikke mitt ansvar å betale;NO TO: Tror ikke at kommunen jeg bor i bruker penger effektivt;NO TO: Tror ikke at andre kommuner bruker penger effektivt;NO TO: Usikker på hva som var best;NO TO: Jeg bruker ikke Oslofjorden;;NA
2c6pa8v1ddr1h1x1;6;Protest;TRUE;FALSE;FALSE;NO TO: Jeg ignorerte fjordområder jeg ikke besøker ofte;NO TO: Jeg tok ikke hensyn til kostnaden ;Jeg valgte alltid alternativet med lavest kostnad;;NO TO: Jeg har ikke råd til å betale mer;Jeg ønsker ikke høyere skatt;NO TO: Områdene som forbedres er for langt unna;NO TO: Synes Oslofjorden er bra som den er;Ikke mitt ansvar å betale;NO TO: Tror ikke at kommunen jeg bor i bruker penger effektivt;NO TO: Tror ikke at andre kommuner bruker penger effektivt;NO TO: Usikker på hva som var best;NO TO: Jeg bruker ikke Oslofjorden;;NA
